"","X","Y","Class","text"
"GO:0060510",31.8639573626098,16.6816758846737,"morphogenesis/development","type II pneumocyte differentiation"
"GO:0060512",46.8987167259387,6.6943417667737,"morphogenesis/development","prostate gland morphogenesis"
"GO:0060513",44.4865087093088,7.87586239309219,"morphogenesis/development","prostatic bud formation"
"GO:0060514",41.6945087365678,10.6368904164198,"morphogenesis/development","prostate induction"
"GO:0060515",47.6987015985477,5.15986082048621,"morphogenesis/development","prostate field specification"
"GO:0060516",44.424928160629,7.37493342526753,"morphogenesis/development","primary prostatic bud elongation"
"GO:0060517",40.8461087099546,18.583074769101,"cell cycle","epithelial cell proliferation involved in prostatic bud elongation"
"GO:0060523",44.3668855684381,7.43822394310169,"multicellular organismal process","prostate epithelial cord elongation"
"GO:0060525",46.996681079512,6.52103094342402,"morphogenesis/development","prostate glandular acinus development"
"GO:0060526",45.7667339380744,7.15114351901267,"morphogenesis/development","prostate glandular acinus morphogenesis"
"GO:0060527",45.6504764208471,6.99307029307107,"morphogenesis/development","prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis"
"GO:0060528",38.3095824008471,13.8088210239159,"morphogenesis/development","secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development"
"GO:0060529",40.5472468561127,11.9578946628449,"morphogenesis/development","squamous basal epithelial stem cell differentiation involved in prostate gland acinus development"
"GO:0060532",31.2501511431825,-0.140092141410046,"morphogenesis/development","bronchus cartilage development"
"GO:0060534",37.4761811784071,10.4039048603347,"morphogenesis/development","trachea cartilage development"
"GO:0060535",41.0715868870631,7.4499601129627,"morphogenesis/development","trachea cartilage morphogenesis"
"GO:0060536",39.358582913226,9.48913428482847,"morphogenesis/development","cartilage morphogenesis"
"GO:0060537",37.7277187046294,-5.26539459603144,"morphogenesis/development","muscle tissue development"
"GO:0060538",36.8933050321025,-5.52552490622807,"morphogenesis/development","skeletal muscle organ development"
"GO:0060539",43.9352040806072,12.0553685688825,"morphogenesis/development","diaphragm development"
"GO:0060541",42.1197218613751,7.60170944340791,"morphogenesis/development","respiratory system development"
"GO:0060542",-36.0311155738473,-1.90734520214252,"cell cycle","regulation of strand invasion"
"GO:0060544",2.06790222175724,3.95368331368882,"cell death","regulation of necroptotic process"
"GO:0060545",1.31593810791979,4.66939839878763,"cell death","positive regulation of necroptotic process"
"GO:0060546",1.61105530703868,2.29472574471171,"cell death","negative regulation of necroptotic process"
"GO:0060549",-20.4949499602849,-9.22927452257973,"metabolic process","regulation of fructose 1,6-bisphosphate 1-phosphatase activity"
"GO:0060550",-19.3752320075135,-9.15848203773587,"metabolic process","positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity"
"GO:0060551",-4.62091498692135,-39.1751411400813,"metabolic process","regulation of fructose 1,6-bisphosphate metabolic process"
"GO:0060552",-11.6601408264086,-37.0508241323495,"metabolic process","positive regulation of fructose 1,6-bisphosphate metabolic process"
"GO:0060556",9.26212798658075,-50.4150763150715,"metabolic process","regulation of vitamin D biosynthetic process"
"GO:0060557",9.30057376808577,-50.3943573336877,"metabolic process","positive regulation of vitamin D biosynthetic process"
"GO:0060558",-13.8181514887098,-8.50877230493984,"metabolic process","regulation of calcidiol 1-monooxygenase activity"
"GO:0060559",-14.2934188380027,-8.24161915065168,"metabolic process","positive regulation of calcidiol 1-monooxygenase activity"
"GO:0060560",43.5826213235638,-10.2791405359449,"morphogenesis/development","developmental growth involved in morphogenesis"
"GO:0060561",26.1754037809379,9.5984014417378,"cell death","apoptotic process involved in morphogenesis"
"GO:0060562",40.9252468558673,10.5678573945366,"morphogenesis/development","epithelial tube morphogenesis"
"GO:0060563",34.7902433311281,16.0332300369075,"morphogenesis/development","neuroepithelial cell differentiation"
"GO:0060566",-35.6303304207422,-23.4039959332812,"gene regulation","positive regulation of termination of DNA-templated transcription"
"GO:0060567",-34.184591778647,-24.475151865811,"gene regulation","negative regulation of termination of DNA-templated transcription"
"GO:0060571",41.3303911068951,9.32040799275702,"morphogenesis/development","morphogenesis of an epithelial fold"
"GO:0060572",44.5548491728247,7.76776487133782,"morphogenesis/development","morphogenesis of an epithelial bud"
"GO:0060573",25.2390270012201,10.625976439077,"morphogenesis/development","cell fate specification involved in pattern specification"
"GO:0060574",32.4253982854816,11.446289667082,"morphogenesis/development","intestinal epithelial cell maturation"
"GO:0060575",35.8934674659733,15.8846407107906,"morphogenesis/development","intestinal epithelial cell differentiation"
"GO:0060576",36.2616435636034,15.8849422496576,"morphogenesis/development","intestinal epithelial cell development"
"GO:0060577",47.0610632509115,20.0129390442374,"morphogenesis/development","pulmonary vein morphogenesis"
"GO:0060579",32.3277154417914,7.56744038821482,"morphogenesis/development","ventral spinal cord interneuron fate commitment"
"GO:0060580",28.5491757800564,12.696382663047,"neural related process","ventral spinal cord interneuron fate determination"
"GO:0060581",25.5274987509355,10.531181863208,"morphogenesis/development","cell fate commitment involved in pattern specification"
"GO:0060582",24.3036153649117,20.1182610138,"morphogenesis/development","cell fate determination involved in pattern specification"
"GO:0060584",-13.9063237111452,-8.80463924213024,"metabolic process","regulation of prostaglandin-endoperoxide synthase activity"
"GO:0060585",-13.9071161335708,-8.80513933860008,"metabolic process","positive regulation of prostaglandin-endoperoxide synthase activity"
"GO:0060586",25.3727621596329,-25.1178049766708,"other","multicellular organismal-level iron ion homeostasis"
"GO:0060587",-16.53639610633,-27.4972115434626,"protein modification/signaling","regulation of lipoprotein lipid oxidation"
"GO:0060588",-16.0050559938421,-23.9563163256499,"protein modification/signaling","negative regulation of lipoprotein lipid oxidation"
"GO:0060591",33.9669624609782,12.3443844352062,"morphogenesis/development","chondroblast differentiation"
"GO:0060592",44.3937974148353,10.8645570552321,"morphogenesis/development","mammary gland formation"
"GO:0060594",45.2628904275313,7.16339857413422,"morphogenesis/development","mammary gland specification"
"GO:0060595",-15.4380655353238,16.8736940252573,"receptor related process","fibroblast growth factor receptor signaling pathway involved in mammary gland specification"
"GO:0060596",46.017438150033,12.8864875833795,"morphogenesis/development","mammary placode formation"
"GO:0060598",45.1234643702131,7.47228565095516,"morphogenesis/development","dichotomous subdivision of terminal units involved in mammary gland duct morphogenesis"
"GO:0060599",45.0614459990503,7.50491051583754,"morphogenesis/development","lateral sprouting involved in mammary gland duct morphogenesis"
"GO:0060600",44.065588993773,8.35163067719444,"morphogenesis/development","dichotomous subdivision of an epithelial terminal unit"
"GO:0060601",43.8980303030254,8.17127264657127,"morphogenesis/development","lateral sprouting from an epithelium"
"GO:0060602",42.4198495459017,9.15244552488988,"morphogenesis/development","branch elongation of an epithelium"
"GO:0060603",45.3125831635029,7.16118894171891,"morphogenesis/development","mammary gland duct morphogenesis"
"GO:0060605",44.2476417399794,8.58611422210525,"morphogenesis/development","tube lumen cavitation"
"GO:0060606",40.2673580512786,9.44305955060105,"morphogenesis/development","tube closure"
"GO:0060611",41.5082802411741,7.45102005964921,"morphogenesis/development","mammary gland fat development"
"GO:0060612",32.6711754047011,7.86429977237523,"morphogenesis/development","adipose tissue development"
"GO:0060613",38.7066819676745,10.0030079134263,"morphogenesis/development","fat pad development"
"GO:0060615",42.1462168713152,8.88251424280987,"morphogenesis/development","mammary gland bud formation"
"GO:0060618",44.1250856836379,10.7270162809964,"morphogenesis/development","nipple development"
"GO:0060620",17.522513839957,-43.1214911473093,"transport","regulation of cholesterol import"
"GO:0060621",17.0926808838939,-42.2979972156988,"transport","negative regulation of cholesterol import"
"GO:0060623",-51.7747254244891,-7.92318179672734,"cell cycle","regulation of chromosome condensation"
"GO:0060627",14.2962414663808,-25.9566885488055,"transport","regulation of vesicle-mediated transport"
"GO:0060628",5.57226928755766,-24.6320749159591,"ER/endosome/lysosome related process","regulation of ER to Golgi vesicle-mediated transport"
"GO:0060629",-54.2237862927712,-9.58309649291275,"cell cycle","regulation of homologous chromosome segregation"
"GO:0060631",-52.5796768026715,-6.36277319959822,"cell cycle","regulation of meiosis I"
"GO:0060632",1.2971558872454,-12.9847194769696,"other","regulation of microtubule-based movement"
"GO:0060633",-36.1143370243932,-23.6697094897762,"gene regulation","negative regulation of transcription initiation by RNA polymerase II"
"GO:0060638",42.4428968207355,11.1259786377324,"morphogenesis/development","mesenchymal-epithelial cell signaling"
"GO:0060644",38.6683454337991,14.0179909756938,"morphogenesis/development","mammary gland epithelial cell differentiation"
"GO:0060648",44.7952558344984,7.86229500043605,"morphogenesis/development","mammary gland bud morphogenesis"
"GO:0060658",43.5552948428823,9.10560192262383,"morphogenesis/development","nipple morphogenesis"
"GO:0060661",45.1606980596316,9.32213442579609,"morphogenesis/development","submandibular salivary gland formation"
"GO:0060662",44.5072578927552,7.96721388447478,"morphogenesis/development","salivary gland cavitation"
"GO:0060664",42.2260950978562,16.4639878371134,"cell cycle","epithelial cell proliferation involved in salivary gland morphogenesis"
"GO:0060665",39.0109097089629,9.45559446102881,"morphogenesis/development","regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling"
"GO:0060666",44.0423543895079,8.41261712079552,"morphogenesis/development","dichotomous subdivision of terminal units involved in salivary gland branching"
"GO:0060667",43.4013908663237,8.65005450335516,"morphogenesis/development","branch elongation involved in salivary gland morphogenesis"
"GO:0060668",36.188758700803,2.83317080587014,"morphogenesis/development","regulation of branching involved in salivary gland morphogenesis by extracellular matrix-epithelial cell signaling"
"GO:0060669",42.5571975327703,6.33866380855084,"morphogenesis/development","embryonic placenta morphogenesis"
"GO:0060670",41.8356410050945,8.2333085939656,"morphogenesis/development","branching involved in labyrinthine layer morphogenesis"
"GO:0060671",36.4594157538021,9.09739888705412,"morphogenesis/development","epithelial cell differentiation involved in embryonic placenta development"
"GO:0060672",40.4577476100798,6.41320781867997,"morphogenesis/development","epithelial cell morphogenesis involved in placental branching"
"GO:0060674",42.4643759590999,10.7909656700953,"morphogenesis/development","placenta blood vessel development"
"GO:0060675",42.4748194321634,14.4083832673238,"morphogenesis/development","ureteric bud morphogenesis"
"GO:0060676",42.4798170717686,13.0248914245957,"morphogenesis/development","ureteric bud formation"
"GO:0060677",41.6003992889998,11.428988985522,"morphogenesis/development","ureteric bud elongation"
"GO:0060678",40.3210317349431,6.9092700054781,"morphogenesis/development","dichotomous subdivision of terminal units involved in ureteric bud branching"
"GO:0060681",40.4545260698972,10.0945690010162,"morphogenesis/development","branch elongation involved in ureteric bud branching"
"GO:0060682",40.5933533834371,8.27097237409588,"morphogenesis/development","primary ureteric bud growth"
"GO:0060683",37.409432393482,6.74572101843662,"morphogenesis/development","regulation of branching involved in salivary gland morphogenesis by epithelial-mesenchymal signaling"
"GO:0060684",41.6738348467984,15.396055072134,"morphogenesis/development","epithelial-mesenchymal cell signaling"
"GO:0060685",42.3311914913186,8.04523967162287,"morphogenesis/development","regulation of prostatic bud formation"
"GO:0060686",40.6328668390381,6.90126418587803,"morphogenesis/development","negative regulation of prostatic bud formation"
"GO:0060687",43.2414565197817,7.80234995987212,"morphogenesis/development","regulation of branching involved in prostate gland morphogenesis"
"GO:0060688",42.8394507683486,11.6798515761787,"morphogenesis/development","regulation of morphogenesis of a branching structure"
"GO:0060689",34.5563162836253,12.9905042033178,"morphogenesis/development","cell differentiation involved in salivary gland development"
"GO:0060693",39.2975885031922,8.4226220142889,"morphogenesis/development","regulation of branching involved in salivary gland morphogenesis"
"GO:0060694",-1.36469515025392,-23.2711120471766,"transport","regulation of cholesterol transporter activity"
"GO:0060695",12.1461849456133,-33.5395520530807,"transport","negative regulation of cholesterol transporter activity"
"GO:0060696",7.30614706116808,-46.5854706469034,"metabolic process","regulation of phospholipid catabolic process"
"GO:0060697",6.75758858347768,-47.710267704571,"metabolic process","positive regulation of phospholipid catabolic process"
"GO:0060699",-18.7682647937167,-16.6967039739069,"metabolic process","regulation of endoribonuclease activity"
"GO:0060700",-24.4509882723079,-16.0971950065633,"metabolic process","regulation of ribonuclease activity"
"GO:0060701",-24.6907784488903,-16.2723935491722,"metabolic process","negative regulation of ribonuclease activity"
"GO:0060702",-21.4509283732826,-11.4717096087593,"metabolic process","negative regulation of endoribonuclease activity"
"GO:0060706",36.7140909038775,9.05554936548418,"morphogenesis/development","cell differentiation involved in embryonic placenta development"
"GO:0060707",36.4610329396321,12.5887237028292,"morphogenesis/development","trophoblast giant cell differentiation"
"GO:0060708",25.1969854744772,17.9993261631409,"morphogenesis/development","spongiotrophoblast differentiation"
"GO:0060709",28.4780429050564,-14.872076517773,"morphogenesis/development","glycogen cell differentiation involved in embryonic placenta development"
"GO:0060710",29.9492199371899,15.3795609059191,"morphogenesis/development","chorio-allantoic fusion"
"GO:0060711",41.5616166521957,4.95422412384359,"morphogenesis/development","labyrinthine layer development"
"GO:0060712",41.2068395982868,5.61500621982723,"morphogenesis/development","spongiotrophoblast layer development"
"GO:0060713",41.1646564502728,5.79323338251587,"morphogenesis/development","labyrinthine layer morphogenesis"
"GO:0060715",36.4489698176764,9.16531908558599,"morphogenesis/development","syncytiotrophoblast cell differentiation involved in labyrinthine layer development"
"GO:0060716",42.903049154592,7.60662541231591,"morphogenesis/development","labyrinthine layer blood vessel development"
"GO:0060717",39.2255270798939,9.38107668481954,"morphogenesis/development","chorion development"
"GO:0060718",34.9728495162989,5.7928702563284,"morphogenesis/development","chorionic trophoblast cell differentiation"
"GO:0060719",39.4867249699255,13.1303302687847,"morphogenesis/development","chorionic trophoblast cell development"
"GO:0060720",37.7366142366095,17.1285949678229,"cell cycle","spongiotrophoblast cell proliferation"
"GO:0060721",38.9840319106192,21.4073542846986,"cell cycle","regulation of spongiotrophoblast cell proliferation"
"GO:0060722",37.7667826835263,17.3108854575223,"cell cycle","cell proliferation involved in embryonic placenta development"
"GO:0060723",38.9943494129222,22.2760582037341,"cell cycle","regulation of cell proliferation involved in embryonic placenta development"
"GO:0060729",24.3814014575465,-11.1821492157323,"multicellular organismal process","intestinal epithelial structure maintenance"
"GO:0060730",27.7244496690269,-16.3192353789261,"multicellular organismal process","regulation of intestinal epithelial structure maintenance"
"GO:0060731",24.2592254382032,-16.9983489208568,"multicellular organismal process","positive regulation of intestinal epithelial structure maintenance"
"GO:0060732",1.22621090503143,-51.6237295066058,"metabolic process","positive regulation of inositol phosphate biosynthetic process"
"GO:0060734",-19.1736658647414,-26.2228777459854,"stress response","regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation"
"GO:0060735",-29.7363869159978,-39.4034811236061,"gene regulation","regulation of eIF2 alpha phosphorylation by dsRNA"
"GO:0060736",47.7267693012396,3.50093055653452,"morphogenesis/development","prostate gland growth"
"GO:0060737",44.5378725372902,7.27501079282397,"morphogenesis/development","prostate gland morphogenetic growth"
"GO:0060738",18.7175287820597,5.52426747825238,"morphogenesis/development","epithelial-mesenchymal signaling involved in prostate gland development"
"GO:0060739",29.2766881324066,9.92570174784099,"morphogenesis/development","mesenchymal-epithelial cell signaling involved in prostate gland development"
"GO:0060740",46.6928337224367,6.99173695524329,"morphogenesis/development","prostate gland epithelium morphogenesis"
"GO:0060741",45.7599284010387,8.49317785874308,"morphogenesis/development","prostate gland stromal morphogenesis"
"GO:0060742",40.7887892367502,7.56045757467139,"morphogenesis/development","epithelial cell differentiation involved in prostate gland development"
"GO:0060743",40.1715000311526,12.2589991350538,"morphogenesis/development","epithelial cell maturation involved in prostate gland development"
"GO:0060744",44.9794559926211,7.65901454005511,"morphogenesis/development","mammary gland branching involved in thelarche"
"GO:0060745",46.4906446394003,6.7433927093582,"morphogenesis/development","mammary gland branching involved in pregnancy"
"GO:0060746",36.7487491759315,-11.3039184502975,"neural related process","parental behavior"
"GO:0060748",46.9725097271726,6.05188594727351,"morphogenesis/development","tertiary branching involved in mammary gland duct morphogenesis"
"GO:0060749",42.851887207101,8.56640330063127,"morphogenesis/development","mammary gland alveolus development"
"GO:0060750",41.7339766323866,17.1977792983147,"cell cycle","epithelial cell proliferation involved in mammary gland duct elongation"
"GO:0060751",43.5438764006168,8.2604685066646,"morphogenesis/development","branch elongation involved in mammary gland duct branching"
"GO:0060752",22.9422495762785,-29.62028457888,"multicellular organismal process","intestinal phytosterol absorption"
"GO:0060753",31.9785562487951,40.4675296463423,"immune system process","regulation of mast cell chemotaxis"
"GO:0060754",32.0665762052934,40.1289021899239,"immune system process","positive regulation of mast cell chemotaxis"
"GO:0060755",31.7482456564403,40.3990889655171,"immune system process","negative regulation of mast cell chemotaxis"
"GO:0060759",-19.77697914208,32.8569642842896,"immune system process","regulation of response to cytokine stimulus"
"GO:0060760",-19.5533332452677,33.748122595872,"immune system process","positive regulation of response to cytokine stimulus"
"GO:0060761",-19.1744074079634,32.6059204448382,"immune system process","negative regulation of response to cytokine stimulus"
"GO:0060762",41.7961209039079,8.56701147144889,"morphogenesis/development","regulation of branching involved in mammary gland duct morphogenesis"
"GO:0060763",44.6833833597442,7.74885034589948,"morphogenesis/development","mammary duct terminal end bud growth"
"GO:0060764",42.6938614964529,12.8610142416663,"morphogenesis/development","cell-cell signaling involved in mammary gland development"
"GO:0060765",-16.1022814566201,26.6536133954416,"receptor related process","regulation of androgen receptor signaling pathway"
"GO:0060766",-16.2998674757121,26.8619105280846,"receptor related process","negative regulation of androgen receptor signaling pathway"
"GO:0060767",43.94259515026,11.7670011741647,"cell cycle","epithelial cell proliferation involved in prostate gland development"
"GO:0060768",44.1976255611055,10.8713857362962,"cell cycle","regulation of epithelial cell proliferation involved in prostate gland development"
"GO:0060769",42.5434825732345,13.3546030603712,"cell cycle","positive regulation of epithelial cell proliferation involved in prostate gland development"
"GO:0060770",41.5988314155831,15.1681034215126,"morphogenesis/development","negative regulation of epithelial cell proliferation involved in prostate gland development"
"GO:0060781",40.7997534283733,16.9739018883792,"cell cycle","mesenchymal cell proliferation involved in prostate gland development"
"GO:0060782",39.8638081570188,18.5210641679639,"cell cycle","regulation of mesenchymal cell proliferation involved in prostate gland development"
"GO:0060783",-1.53930660327832,16.4407831018298,"receptor related process","mesenchymal smoothened signaling pathway involved in prostate gland development"
"GO:0060784",34.7936435473394,22.4944283740351,"cell cycle","regulation of cell proliferation involved in tissue homeostasis"
"GO:0060785",8.07712966925482,5.96146888386231,"cell death","regulation of apoptosis involved in tissue homeostasis"
"GO:0060788",42.8719054550501,8.26714041190711,"morphogenesis/development","ectodermal placode formation"
"GO:0060789",46.2804843875237,9.24677656010055,"morphogenesis/development","hair follicle placode formation"
"GO:0060792",43.1781064546371,11.0399489915099,"morphogenesis/development","sweat gland development"
"GO:0060795",34.458451645505,13.2728795309475,"morphogenesis/development","cell fate commitment involved in formation of primary germ layer"
"GO:0060800",24.8204108219935,9.58985588936294,"morphogenesis/development","regulation of cell differentiation involved in embryonic placenta development"
"GO:0060802",-20.7229679985882,9.77871427176029,"protein modification/signaling","epiblast cell-extraembryonic ectoderm cell signaling"
"GO:0060806",-6.25315136615894,13.1114160629067,"morphogenesis/development","negative regulation of cell differentiation involved in embryonic placenta development"
"GO:0060809",36.6574262215044,11.2892534364307,"morphogenesis/development","mesodermal to mesenchymal transition involved in gastrulation"
"GO:0060816",-37.0516861346945,-15.2442027056499,"gene regulation","random inactivation of X chromosome"
"GO:0060818",-36.8858082857608,-14.8813392002883,"gene regulation","inactivation of paternal X chromosome by genomic imprinting"
"GO:0060825",-14.8857730619998,17.1326775996897,"receptor related process","fibroblast growth factor receptor signaling pathway involved in neural plate anterior/posterior pattern formation"
"GO:0060828",-6.3227016543502,15.8093550348058,"protein modification/signaling","regulation of canonical Wnt signaling pathway"
"GO:0060831",-3.83664612806754,17.7933620207836,"receptor related process","smoothened signaling pathway involved in dorsal/ventral neural tube patterning"
"GO:0060836",34.7752638864088,21.2248366230692,"morphogenesis/development","lymphatic endothelial cell differentiation"
"GO:0060837",39.8098297022893,19.0786080347484,"morphogenesis/development","blood vessel endothelial cell differentiation"
"GO:0060838",37.0042507074551,22.7386307638735,"morphogenesis/development","lymphatic endothelial cell fate commitment"
"GO:0060839",41.2269193375398,19.4423564164976,"morphogenesis/development","endothelial cell fate commitment"
"GO:0060840",46.8051469900916,19.665806214635,"morphogenesis/development","artery development"
"GO:0060841",46.5956785272677,19.652022419696,"morphogenesis/development","venous blood vessel development"
"GO:0060842",35.4826108192427,10.0618403831886,"morphogenesis/development","arterial endothelial cell differentiation"
"GO:0060843",36.8148600520125,9.79475657644154,"morphogenesis/development","venous endothelial cell differentiation"
"GO:0060844",37.135460132994,9.98755149173847,"morphogenesis/development","arterial endothelial cell fate commitment"
"GO:0060846",40.0739880893474,16.9123273520226,"morphogenesis/development","blood vessel endothelial cell fate commitment"
"GO:0060847",38.5285982528301,16.3547040307181,"morphogenesis/development","endothelial cell fate specification"
"GO:0060853",-12.3251367950009,16.0836123488549,"receptor related process","Notch signaling pathway involved in arterial endothelial cell fate commitment"
"GO:0060854",41.9542593576763,14.1571841928289,"multicellular organismal process","branching involved in lymph vessel morphogenesis"
"GO:0060856",26.1816291121602,-6.75376989445439,"morphogenesis/development","establishment of blood-brain barrier"
"GO:0060857",33.5327941294605,2.02269175869376,"morphogenesis/development","establishment of glial blood-brain barrier"
"GO:0060872",46.6038194530822,14.7454734419777,"morphogenesis/development","semicircular canal development"
"GO:0060873",44.2600262897598,13.1037694483759,"morphogenesis/development","anterior semicircular canal development"
"GO:0060875",45.9037379402547,14.1633000396576,"morphogenesis/development","lateral semicircular canal development"
"GO:0060876",43.5766789568923,11.0279069606831,"morphogenesis/development","semicircular canal formation"
"GO:0060879",40.5807691053026,7.85077670109743,"morphogenesis/development","semicircular canal fusion"
"GO:0060887",45.9172392802261,11.2704162844337,"morphogenesis/development","limb epidermis development"
"GO:0060896",38.0390548893553,9.72441930225734,"morphogenesis/development","neural plate pattern specification"
"GO:0060897",37.6263487203293,9.9901342021955,"morphogenesis/development","neural plate regionalization"
"GO:0060900",42.7648849097798,10.3799939490452,"morphogenesis/development","embryonic camera-type eye formation"
"GO:0060903",-51.2181954288721,-4.19592398274019,"cell cycle","positive regulation of meiosis I"
"GO:0060904",-13.620844753036,-21.771819262374,"ER/endosome/lysosome related process","regulation of protein folding in endoplasmic reticulum"
"GO:0060907",-6.48166347541889,55.2973709703494,"immune system process","positive regulation of macrophage cytokine production"
"GO:0060911",39.2532275174081,7.65779924441465,"morphogenesis/development","cardiac cell fate commitment"
"GO:0060912",40.7478939666397,9.83493462479574,"morphogenesis/development","cardiac cell fate specification"
"GO:0060913",36.726461623014,9.54559171360795,"morphogenesis/development","cardiac cell fate determination"
"GO:0060914",46.440863515149,12.563475570284,"morphogenesis/development","heart formation"
"GO:0060915",38.0208990239095,12.2098898068459,"morphogenesis/development","mesenchymal cell differentiation involved in lung development"
"GO:0060916",34.8925063888622,21.2128046994194,"cell cycle","mesenchymal cell proliferation involved in lung development"
"GO:0060920",38.4792644384962,-7.51684037550166,"morphogenesis/development","cardiac pacemaker cell differentiation"
"GO:0060921",32.4295766611538,-1.47373675820497,"morphogenesis/development","sinoatrial node cell differentiation"
"GO:0060922",33.3416529973665,6.83023988154035,"morphogenesis/development","atrioventricular node cell differentiation"
"GO:0060923",32.4362791264541,-2.50696068582208,"morphogenesis/development","cardiac muscle cell fate commitment"
"GO:0060926",40.5337396303969,13.1880552980954,"morphogenesis/development","cardiac pacemaker cell development"
"GO:0060927",39.3762770281348,8.24913391411192,"morphogenesis/development","cardiac pacemaker cell fate commitment"
"GO:0060928",40.2639268889954,12.5057218183864,"morphogenesis/development","atrioventricular node cell development"
"GO:0060929",37.3798800000017,3.26197328782725,"morphogenesis/development","atrioventricular node cell fate commitment"
"GO:0060930",36.0896119967727,7.68833808796447,"morphogenesis/development","sinoatrial node cell fate commitment"
"GO:0060931",39.7394961133487,13.0712086672398,"morphogenesis/development","sinoatrial node cell development"
"GO:0060932",36.9662690863586,3.29124437508712,"morphogenesis/development","His-Purkinje system cell differentiation"
"GO:0060935",40.9061201456832,8.39313830447783,"morphogenesis/development","cardiac fibroblast cell differentiation"
"GO:0060936",47.792331864879,15.674158430357,"morphogenesis/development","cardiac fibroblast cell development"
"GO:0060938",39.6935562112034,7.91618553001978,"morphogenesis/development","epicardium-derived cardiac fibroblast cell differentiation"
"GO:0060939",44.7561234877222,14.4810196462648,"morphogenesis/development","epicardium-derived cardiac fibroblast cell development"
"GO:0060940",36.3269666469455,15.4658199155518,"morphogenesis/development","epithelial to mesenchymal transition involved in cardiac fibroblast development"
"GO:0060945",26.4479768478258,16.9381697238213,"neural related process","cardiac neuron differentiation"
"GO:0060947",21.138095536025,4.31976300341271,"morphogenesis/development","cardiac vascular smooth muscle cell differentiation"
"GO:0060948",38.9343714014654,13.0866114805861,"morphogenesis/development","cardiac vascular smooth muscle cell development"
"GO:0060956",48.523485089779,16.1595657188717,"morphogenesis/development","endocardial cell differentiation"
"GO:0060957",44.4746386874039,19.0017544328945,"morphogenesis/development","endocardial cell fate commitment"
"GO:0060964",-37.3591371209281,-29.6661142444346,"gene regulation","regulation of miRNA-mediated gene silencing"
"GO:0060965",-36.5926239724204,-28.3545698560323,"gene regulation","negative regulation of miRNA-mediated gene silencing"
"GO:0060966",-37.3683974074824,-29.6481544555667,"gene regulation","regulation of gene silencing by regulatory ncRNA"
"GO:0060967",-37.3428033240435,-29.6998951986002,"gene regulation","negative regulation of gene silencing by regulatory ncRNA"
"GO:0060971",41.4241460719151,11.8004195235216,"morphogenesis/development","embryonic heart tube left/right pattern formation"
"GO:0060972",37.4217084972762,9.33159265402533,"morphogenesis/development","left/right pattern formation"
"GO:0060973",34.7105217668399,16.7336286104174,"morphogenesis/development","cell migration involved in heart development"
"GO:0060974",35.987987488928,18.6433750261435,"morphogenesis/development","cell migration involved in heart formation"
"GO:0060975",35.1289829170056,7.44002265128612,"morphogenesis/development","cardioblast migration to the midline involved in heart field formation"
"GO:0060976",46.5630032638066,19.8462916962842,"morphogenesis/development","coronary vasculature development"
"GO:0060977",46.6752495790601,20.7163279923046,"morphogenesis/development","coronary vasculature morphogenesis"
"GO:0060978",43.8269022559472,22.0585522421425,"morphogenesis/development","angiogenesis involved in coronary vascular morphogenesis"
"GO:0060979",42.0417546943277,26.9419754518027,"morphogenesis/development","vasculogenesis involved in coronary vascular morphogenesis"
"GO:0060980",40.2225502132317,28.2296601305296,"multicellular organismal process","cell migration involved in coronary vasculogenesis"
"GO:0060981",41.2965669454591,25.3015800209217,"multicellular organismal process","cell migration involved in coronary angiogenesis"
"GO:0060982",47.6985234349462,19.4409300318008,"morphogenesis/development","coronary artery morphogenesis"
"GO:0060986",16.2781380902985,-36.9452283993949,"multicellular organismal process","endocrine hormone secretion"
"GO:0060988",-4.21105467353153,-22.4250559469007,"cellular component organization","lipid tube assembly"
"GO:0060989",-14.3965587584068,-19.7832748491033,"cellular component organization","lipid tube assembly involved in organelle fusion"
"GO:0060992",-30.5675852204356,20.6236686077961,"response to stimulus","response to fungicide"
"GO:0060993",42.635237468888,14.4232195318533,"morphogenesis/development","kidney morphogenesis"
"GO:0060996",20.2963716063505,-3.47819748529054,"neural related process","dendritic spine development"
"GO:0060997",19.882950138338,-3.6659968198602,"neural related process","dendritic spine morphogenesis"
"GO:0060998",20.3438517706357,-4.72757347468956,"neural related process","regulation of dendritic spine development"
"GO:0060999",20.2325706242107,-4.25601855137159,"neural related process","positive regulation of dendritic spine development"
"GO:0061000",21.1200257277659,-5.70126565414397,"neural related process","negative regulation of dendritic spine development"
"GO:0061001",19.8761537584839,-3.68519097648788,"neural related process","regulation of dendritic spine morphogenesis"
"GO:0061002",22.0479189878157,-6.89180263119208,"neural related process","negative regulation of dendritic spine morphogenesis"
"GO:0061003",20.6242560897489,-4.65358436141447,"neural related process","positive regulation of dendritic spine morphogenesis"
"GO:0061004",41.6421867713274,15.5352698540684,"morphogenesis/development","pattern specification involved in kidney development"
"GO:0061005",40.958056541818,16.5871246031612,"morphogenesis/development","cell differentiation involved in kidney development"
