term_name,Group,QC
negative regulation of protein lipidation,protein modification/signaling,0.358
negative regulation of protein localization to cell cortex,transport,0.298
negative regulation of protein localization to cell leading edge,transport,0.246
negative regulation of protein localization to cell periphery,cellular component organization,0.514
negative regulation of protein localization to cell surface,transport,0.258
negative regulation of protein localization to centrosome,transport,0.26
negative regulation of protein localization to chromatin,transport,0.304
"negative regulation of protein localization to chromosome, telomeric region",transport,0.352
negative regulation of protein localization to ciliary membrane,transport,0.268
negative regulation of protein localization to cilium,cellular component organization,0.364
negative regulation of protein localization to endoplasmic reticulum,transport,0.224
negative regulation of protein localization to endosome,transport,0.258
negative regulation of protein localization to lysosome,protein modification/signaling,0.254
negative regulation of protein localization to microtubule,protein modification/signaling,0.248
negative regulation of protein localization to nucleolus,transport,0.278
negative regulation of protein localization to nucleus,transport,0.48
negative regulation of protein localization to plasma membrane,cellular component organization,0.412
negative regulation of protein maturation,protein modification/signaling,0.474
negative regulation of protein modification by small protein conjugation or removal,protein modification/signaling,0.84
negative regulation of protein neddylation,protein modification/signaling,0.402
negative regulation of protein oligomerization,cellular component organization,0.746
negative regulation of protein polyubiquitination,protein modification/signaling,0.774
negative regulation of protein processing,protein modification/signaling,0.47
negative regulation of protein processing involved in protein targeting to mitochondrion,protein modification/signaling,0.356
negative regulation of protein refolding,protein modification/signaling,0.31
negative regulation of protein secretion,transport,0.642
negative regulation of protein serine/threonine kinase activity,protein modification/signaling,0.756
negative regulation of protein serine/threonine phosphatase activity,protein modification/signaling,0.386
negative regulation of protein sumoylation,protein modification/signaling,0.666
negative regulation of protein targeting to membrane,transport,0.546
negative regulation of protein targeting to mitochondrion,transport,0.618
negative regulation of protein transport,transport,0.818
negative regulation of protein tyrosine phosphatase activity,protein modification/signaling,0.424
negative regulation of protein-containing complex disassembly,cellular component organization,0.852
negative regulation of proteoglycan biosynthetic process,metabolic process,0.75
negative regulation of purine nucleotide biosynthetic process,metabolic process,0.568
negative regulation of purine nucleotide metabolic process,metabolic process,0.678
negative regulation of quinolinate biosynthetic process,metabolic process,0.262
negative regulation of rDNA heterochromatin formation,morphogenesis/development,0.238
negative regulation of rRNA processing,immune system process,0.136
negative regulation of reactive oxygen species biosynthetic process,metabolic process,0.424
negative regulation of receptor binding,receptor related process,0.226
negative regulation of receptor catabolic process,metabolic process,0.532
negative regulation of receptor clustering,cellular component organization,0.326
negative regulation of receptor internalization,receptor related process,0.318
negative regulation of receptor recycling,immune system process,0.278
negative regulation of receptor-mediated endocytosis,transport,0.298
negative regulation of receptor-mediated endocytosis involved in cholesterol transport,transport,0.166
negative regulation of regulated secretory pathway,transport,0.374
negative regulation of regulatory T cell differentiation,immune system process,0.836
negative regulation of relaxation of cardiac muscle,multicellular organismal process,0.134
negative regulation of relaxation of muscle,multicellular organismal process,0.622
negative regulation of relaxation of smooth muscle,multicellular organismal process,0.636
negative regulation of release of sequestered calcium ion into cytosol,transport,0.678
negative regulation of renal albumin absorption,immune system process,0.128
negative regulation of renal phosphate excretion,metabolic process,0.15
negative regulation of renal sodium excretion,multicellular organismal process,0.32
negative regulation of renin secretion into blood stream,multicellular organismal process,0.186
negative regulation of reproductive process,cell cycle,0.182
negative regulation of respiratory burst,immune system process,0.408
negative regulation of respiratory burst involved in inflammatory response,immune system process,0.452
negative regulation of respiratory gaseous exchange,immune system process,0.12
negative regulation of response to extracellular stimulus,immune system process,0.366
negative regulation of response to food,immune system process,0.46
negative regulation of response to nutrient levels,immune system process,0.238
negative regulation of response to oxidative stress,stress response,0.53
negative regulation of response to reactive oxygen species,stress response,0.496
negative regulation of response to stimulus,response to stimulus,0.2
negative regulation of response to tumor cell,immune system process,0.67
negative regulation of response to type II interferon,immune system process,0.46
negative regulation of retinal cell programmed cell death,morphogenesis/development,0.37
negative regulation of retinal ganglion cell axon guidance,neural related process,0.236
negative regulation of retinoic acid biosynthetic process,metabolic process,0.36
negative regulation of retinoic acid receptor signaling pathway,receptor related process,0.314
"negative regulation of retrograde protein transport, ER to cytosol",protein modification/signaling,0.238
negative regulation of retrograde trans-synaptic signaling by neuropeptide,protein modification/signaling,0.298
"negative regulation of retrograde transport, endosome to Golgi",transport,0.158
negative regulation of ribonuclease activity,gene regulation,0.438
negative regulation of ribosome biogenesis,cellular component organization,0.688
negative regulation of ripoptosome assembly involved in necroptotic process,cell death,0.442
negative regulation of ruffle assembly,cellular component organization,0.294
negative regulation of ryanodine-sensitive calcium-release channel activity,cellular component organization,0.228
negative regulation of saliva secretion,metabolic process,0.118
negative regulation of sarcomere organization,cellular component organization,0.408
negative regulation of satellite cell differentiation,morphogenesis/development,0.21
negative regulation of sebum secreting cell proliferation,cell cycle,0.24
negative regulation of secondary metabolite biosynthetic process,metabolic process,0.558
negative regulation of secretion by cell,transport,0.604
negative regulation of secretion of lysosomal enzymes,metabolic process,0.16
negative regulation of selenocysteine incorporation,immune system process,0.122
negative regulation of selenocysteine insertion sequence binding,gene regulation,0.212
negative regulation of sensory perception of pain,immune system process,0.122
negative regulation of sequestering of triglyceride,cellular component organization,0.238
negative regulation of serine C-palmitoyltransferase activity,immune system process,0.128
negative regulation of serine-type endopeptidase activity,immune system process,0.16
negative regulation of serine-type peptidase activity,metabolic process,0.318
negative regulation of serotonin secretion,immune system process,0.134
negative regulation of serotonin uptake,transport,0.628
negative regulation of shelterin complex assembly,cellular component organization,0.34
negative regulation of short-term neuronal synaptic plasticity,neural related process,0.432
negative regulation of short-term synaptic potentiation,neural related process,0.172
negative regulation of signal transduction,protein modification/signaling,0.27
negative regulation of signal transduction by p53 class mediator,protein modification/signaling,0.426
negative regulation of signaling,protein modification/signaling,0.276
negative regulation of signaling receptor activity,receptor related process,0.626
negative regulation of single strand break repair,stress response,0.528
negative regulation of single stranded viral RNA replication via double stranded DNA intermediate,viral related process,0.324
negative regulation of single-species biofilm formation,cellular component organization,0.198
negative regulation of single-species biofilm formation in or on host organism,morphogenesis/development,0.25
negative regulation of sister chromatid cohesion,cell cycle,0.566
negative regulation of skeletal muscle acetylcholine-gated channel clustering,cell cycle,0.118
negative regulation of skeletal muscle cell differentiation,morphogenesis/development,0.814
negative regulation of skeletal muscle cell proliferation,cell cycle,0.75
negative regulation of skeletal muscle hypertrophy,cell cycle,0.126
negative regulation of skeletal muscle satellite cell proliferation,cell cycle,0.682
negative regulation of skeletal muscle tissue development,morphogenesis/development,0.564
negative regulation of skeletal muscle tissue growth,immune system process,0.116
negative regulation of skeletal muscle tissue regeneration,morphogenesis/development,0.334
negative regulation of smooth muscle cell apoptotic process,cell death,0.834
negative regulation of smooth muscle cell chemotaxis,cell cycle,0.156
negative regulation of smooth muscle cell differentiation,morphogenesis/development,0.726
negative regulation of smooth muscle cell migration,multicellular organismal process,0.34
negative regulation of smooth muscle cell-matrix adhesion,cell adhesion,0.174
negative regulation of smoothened signaling pathway,receptor related process,0.482
negative regulation of smoothened signaling pathway involved in dorsal/ventral neural tube patterning,protein modification/signaling,0.252
negative regulation of smoothened signaling pathway involved in ventral spinal cord patterning,protein modification/signaling,0.198
negative regulation of snRNA transcription by RNA polymerase II,gene regulation,0.5
negative regulation of sodium ion transmembrane transport,transport,0.84
negative regulation of sodium ion transmembrane transporter activity,transport,0.704
negative regulation of sodium-dependent phosphate transport,transport,0.154
negative regulation of sodium:proton antiporter activity,metabolic process,0.58
negative regulation of somatic stem cell population maintenance,morphogenesis/development,0.578
negative regulation of somatostatin secretion,morphogenesis/development,0.142
negative regulation of sperm capacitation,immune system process,0.13
negative regulation of sphingolipid biosynthetic process,metabolic process,0.718
negative regulation of spindle checkpoint,cell cycle,0.738
negative regulation of spontaneous neurotransmitter secretion,protein modification/signaling,0.114
negative regulation of sprouting angiogenesis,morphogenesis/development,0.762
negative regulation of sprouting of injured axon,neural related process,0.418
negative regulation of stem cell proliferation,cell cycle,0.734
negative regulation of steroid biosynthetic process,metabolic process,0.912
negative regulation of steroid hormone biosynthetic process,metabolic process,0.868
negative regulation of steroid hormone secretion,transport,0.512
negative regulation of steroid metabolic process,metabolic process,0.928
negative regulation of sterol biosynthetic process,metabolic process,0.576
negative regulation of sterol transport,transport,0.912
negative regulation of stomach neuroendocrine cell differentiation,morphogenesis/development,0.284
negative regulation of store-operated calcium channel activity,immune system process,0.136
negative regulation of stress fiber assembly,cellular component organization,0.314
negative regulation of stress granule assembly,cellular component organization,0.412
negative regulation of stress-activated MAPK cascade,protein modification/signaling,0.452
negative regulation of stress-activated protein kinase signaling cascade,protein modification/signaling,0.434
negative regulation of striated muscle cell apoptotic process,cell death,0.796
negative regulation of striated muscle contraction,multicellular organismal process,0.638
negative regulation of striated muscle tissue development,morphogenesis/development,0.61
negative regulation of superoxide anion generation,morphogenesis/development,0.178
negative regulation of supramolecular fiber organization,cellular component organization,0.86
negative regulation of synapse assembly,neural related process,0.302
negative regulation of synapse maturation,morphogenesis/development,0.174
negative regulation of synapse organization,cellular component organization,0.582
negative regulation of synaptic plasticity,neural related process,0.328
"negative regulation of synaptic transmission, GABAergic",neural related process,0.458
"negative regulation of synaptic transmission, cholinergic",neural related process,0.59
"negative regulation of synaptic transmission, dopaminergic",neural related process,0.468
negative regulation of synaptic vesicle clustering,neural related process,0.176
negative regulation of synaptic vesicle exocytosis,transport,0.318
negative regulation of synaptic vesicle recycling,transport,0.464
negative regulation of syncytium formation by plasma membrane fusion,cellular component organization,0.424
negative regulation of systemic arterial blood pressure,multicellular organismal process,0.458
negative regulation of t-circle formation,morphogenesis/development,0.208
negative regulation of tRNA catabolic process,gene regulation,0.476
negative regulation of tRNA metabolic process,gene regulation,0.448
negative regulation of tau-protein kinase activity,protein modification/signaling,0.216
negative regulation of telomerase RNA reverse transcriptase activity,gene regulation,0.336
negative regulation of telomerase activity,metabolic process,0.3
negative regulation of telomere capping,cell cycle,0.5
negative regulation of telomere maintenance,cell cycle,0.632
negative regulation of telomere maintenance in response to DNA damage,stress response,0.408
negative regulation of telomere maintenance via recombination,cellular component organization,0.132
negative regulation of telomere maintenance via semi-conservative replication,cell cycle,0.222
negative regulation of telomere maintenance via telomerase,cell cycle,0.192
negative regulation of telomere maintenance via telomere lengthening,cell cycle,0.526
negative regulation of telomere single strand break repair,immune system process,0.114
negative regulation of telomeric D-loop disassembly,cellular component organization,0.172
negative regulation of telomeric DNA binding,gene regulation,0.242
negative regulation of telomeric loop disassembly,cell cycle,0.39
negative regulation of termination of DNA-templated transcription,gene regulation,0.73
negative regulation of termination of RNA polymerase II transcription,gene regulation,0.746
"negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled",gene regulation,0.502
negative regulation of testicular blood vessel morphogenesis,morphogenesis/development,0.27
negative regulation of testosterone biosynthetic process,metabolic process,0.262
negative regulation of the force of heart contraction,cellular component organization,0.192
negative regulation of the force of heart contraction by chemical signal,multicellular organismal process,0.594
negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation,metabolic process,0.234
negative regulation of thrombin-activated receptor signaling pathway,receptor related process,0.404
negative regulation of thymocyte apoptotic process,cell death,0.602
negative regulation of thyroid gland epithelial cell proliferation,cell cycle,0.248
negative regulation of timing of anagen,morphogenesis/development,0.178
negative regulation of timing of catagen,morphogenesis/development,0.18
negative regulation of tolerance induction,immune system process,0.634
negative regulation of toll-like receptor 2 signaling pathway,immune system process,0.38
negative regulation of toll-like receptor 3 signaling pathway,immune system process,0.356
negative regulation of toll-like receptor 4 signaling pathway,immune system process,0.352
negative regulation of toll-like receptor 5 signaling pathway,immune system process,0.35
negative regulation of toll-like receptor 7 signaling pathway,immune system process,0.336
negative regulation of toll-like receptor 9 signaling pathway,immune system process,0.352
negative regulation of toll-like receptor signaling pathway,immune system process,0.872
negative regulation of tooth mineralization,morphogenesis/development,0.628
negative regulation of transcription by RNA polymerase I,gene regulation,0.842
negative regulation of transcription by RNA polymerase III,gene regulation,0.844
negative regulation of transcription by competitive promoter binding,gene regulation,0.22
negative regulation of transcription by glucose,gene regulation,0.866
negative regulation of transcription by transcription factor localization,gene regulation,0.208
negative regulation of transcription elongation by RNA polymerase II,gene regulation,0.57
negative regulation of transcription from RNA polymerase II promoter by glucose,gene regulation,0.474
negative regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress,gene regulation,0.33
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,gene regulation,0.386
negative regulation of transcription from RNA polymerase II promoter in response to stress,stress response,0.534
negative regulation of transcription initiation by RNA polymerase II,gene regulation,0.82
negative regulation of transcription of nucleolar large rRNA by RNA polymerase I,gene regulation,0.53
negative regulation of transcription regulatory region DNA binding,gene regulation,0.58
negative regulation of transformation of host cell by virus,viral related process,0.234
negative regulation of transforming growth factor beta activation,immune system process,0.696
negative regulation of transforming growth factor beta receptor signaling pathway,receptor related process,0.686
negative regulation of transforming growth factor beta1 production,immune system process,0.85
negative regulation of transforming growth factor beta2 production,immune system process,0.828
negative regulation of transforming growth factor beta3 production,immune system process,0.83
negative regulation of translation in response to endoplasmic reticulum stress,gene regulation,0.438
negative regulation of translation in response to oxidative stress,metabolic process,0.178
negative regulation of translation in response to stress,stress response,0.47
negative regulation of translational elongation,gene regulation,0.71
negative regulation of translational frameshifting,immune system process,0.13
negative regulation of translational initiation by iron,metabolic process,0.158
negative regulation of translational initiation in response to stress,stress response,0.474
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,receptor related process,0.654
negative regulation of transmission of nerve impulse,neural related process,0.548
negative regulation of transporter activity,transport,0.568
negative regulation of triglyceride biosynthetic process,metabolic process,0.71
negative regulation of triglyceride catabolic process,metabolic process,0.722
negative regulation of triglyceride metabolic process,metabolic process,0.916
negative regulation of trophoblast cell migration,morphogenesis/development,0.17
negative regulation of tubulin deacetylation,protein modification/signaling,0.564
negative regulation of tumor necrosis factor (ligand) superfamily member 11 production,immune system process,0.424
negative regulation of tumor necrosis factor production,immune system process,0.79
negative regulation of tumor necrosis factor superfamily cytokine production,immune system process,0.882
negative regulation of tumor necrosis factor-mediated signaling pathway,receptor related process,0.356
negative regulation of type 2 immune response,immune system process,0.896
negative regulation of type B pancreatic cell apoptotic process,cell death,0.712
negative regulation of type B pancreatic cell development,morphogenesis/development,0.188
negative regulation of type B pancreatic cell proliferation,cell cycle,0.244
negative regulation of type I hypersensitivity,immune system process,0.426
negative regulation of type II hypersensitivity,immune system process,0.914
negative regulation of type II interferon-mediated signaling pathway,protein modification/signaling,0.282
negative regulation of type III interferon production,immune system process,0.58
negative regulation of type IIa hypersensitivity,immune system process,0.908
negative regulation of type IV hypersensitivity,immune system process,0.466
negative regulation of ubiquitin protein ligase activity,protein modification/signaling,0.43
negative regulation of ubiquitin-dependent protein catabolic process,metabolic process,0.742
negative regulation of ubiquitin-specific protease activity,metabolic process,0.156
negative regulation of ureter smooth muscle cell differentiation,morphogenesis/development,0.21
negative regulation of urine volume,multicellular organismal process,0.544
negative regulation of uterine smooth muscle contraction,multicellular organismal process,0.156
negative regulation of vacuolar transport,transport,0.592
negative regulation of vascular associated smooth muscle cell apoptotic process,cell death,0.252
negative regulation of vascular associated smooth muscle cell differentiation,morphogenesis/development,0.706
negative regulation of vascular associated smooth muscle cell differentiation involved in phenotypic switching,cell cycle,0.206
negative regulation of vascular associated smooth muscle cell migration,cell cycle,0.296
negative regulation of vascular associated smooth muscle contraction,multicellular organismal process,0.566
negative regulation of vascular endothelial cell proliferation,cell cycle,0.294
negative regulation of vascular endothelial growth factor production,immune system process,0.35
negative regulation of vascular endothelial growth factor receptor signaling pathway,receptor related process,0.368
negative regulation of vascular endothelial growth factor signaling pathway,protein modification/signaling,0.26
negative regulation of vascular permeability,multicellular organismal process,0.774
negative regulation of vascular wound healing,morphogenesis/development,0.26
negative regulation of vasculature development involved in avascular cornea development in camera-type eye,metabolic process,0.192
negative regulation of vasculogenesis,immune system process,0.13
negative regulation of vasoconstriction,multicellular organismal process,0.518
negative regulation of ventricular cardiac muscle cell action potential,cell cycle,0.17
negative regulation of very-low-density lipoprotein particle clearance,cellular component organization,0.182
negative regulation of very-low-density lipoprotein particle remodeling,protein modification/signaling,0.304
negative regulation of vesicle fusion,cellular component organization,0.434
negative regulation of viral transcription,viral related process,0.392
negative regulation of vitamin D biosynthetic process,metabolic process,0.858
negative regulation of vitamin D receptor signaling pathway,receptor related process,0.356
negative regulation of vitamin metabolic process,metabolic process,0.928
negative regulation of voltage-gated calcium channel activity,transport,0.674
negative regulation of voltage-gated potassium channel activity,transport,0.628
negative regulation of voltage-gated sodium channel activity,immune system process,0.136
"negative regulation of wound healing, spreading of epidermal cells",cellular component organization,0.16
negative regulation of zinc ion transmembrane import,transport,0.132
negative regulation of zinc ion transmembrane transport,transport,0.866
negative regulation of zinc ion transport,transport,0.932
negative stranded viral RNA replication,gene regulation,0.286
negative thymic T cell selection,immune system process,0.236
nephric duct development,morphogenesis/development,0.96
nephric duct elongation,cellular component organization,0.23
nephric duct formation,morphogenesis/development,0.848
nephric duct morphogenesis,morphogenesis/development,0.892
nephrogenic mesenchyme development,morphogenesis/development,0.854
nephrogenic mesenchyme morphogenesis,morphogenesis/development,0.672
nephron epithelium development,morphogenesis/development,0.978
nephron epithelium morphogenesis,morphogenesis/development,0.916
nephron morphogenesis,morphogenesis/development,0.94
nephron tubule development,morphogenesis/development,0.962
nephron tubule epithelial cell differentiation,morphogenesis/development,0.928
nephron tubule formation,morphogenesis/development,0.862
nephron tubule morphogenesis,morphogenesis/development,0.916
nerve growth factor binding,metabolic process,0.18
nerve growth factor production,neural related process,0.266
nerve growth factor receptor activity,neural related process,0.288
nerve growth factor receptor binding,receptor related process,0.548
nerve growth factor signaling pathway,receptor related process,0.534
nerve maturation,morphogenesis/development,0.712
nervous system development,neural related process,0.314
nervous system process,neural related process,0.594
nervous system process involved in regulation of systemic arterial blood pressure,multicellular organismal process,0.516
netrin receptor activity,receptor related process,0.546
netrin receptor activity involved in chemorepulsion,transport,0.33
netrin receptor binding,receptor related process,0.5
netrin-activated signaling pathway,receptor related process,0.466
network-forming collagen trimer,cellular component organization,0.33
neural crest cell fate commitment,morphogenesis/development,0.306
neural crest cell fate specification,morphogenesis/development,0.554
neural crest cell migration involved in autonomic nervous system development,morphogenesis/development,0.256
neural crest cell migration involved in heart formation,morphogenesis/development,0.256
neural crest formation,morphogenesis/development,0.412
neural fold bending,morphogenesis/development,0.232
neural fold elevation formation,morphogenesis/development,0.268
neural fold formation,morphogenesis/development,0.386
neural plate anterior/posterior regionalization,cellular component organization,0.262
neural plate axis specification,morphogenesis/development,0.188
neural plate development,morphogenesis/development,0.832
neural plate elongation,cellular component organization,0.206
neural plate mediolateral regionalization,cellular component organization,0.262
neural plate morphogenesis,morphogenesis/development,0.59
neural plate pattern specification,morphogenesis/development,0.49
neural plate regionalization,multicellular organismal process,0.43
neural precursor cell proliferation,cell cycle,0.468
neural retina development,morphogenesis/development,0.776
neural tissue regeneration,cellular component organization,0.22
neural tube formation,morphogenesis/development,0.654
neural tube patterning,morphogenesis/development,0.332
neuregulin binding,response to stimulus,0.326
neuregulin receptor activity,receptor related process,0.248
neurexin clustering involved in presynaptic membrane assembly,cellular component organization,0.264
neurexin family protein binding,neural related process,0.24
neuroblast delamination,morphogenesis/development,0.218
neuroblast differentiation,morphogenesis/development,0.92
neuroblast division,cell cycle,0.286
neuroblast division in subventricular zone,morphogenesis/development,0.238
neuroblast fate commitment,morphogenesis/development,0.644
neuroblast fate determination,morphogenesis/development,0.296
neuroblast migration,morphogenesis/development,0.218
neuroblast proliferation,cell cycle,0.314
neuroendocrine cell differentiation,morphogenesis/development,0.692
neuroepithelial cell differentiation,morphogenesis/development,0.81
neurofibrillary tangle,protein modification/signaling,0.232
neurofibrillary tangle assembly,cellular component organization,0.614
neurofilament,neural related process,0.344
neurofilament bundle assembly,cellular component organization,0.596
neurofilament cytoskeleton,cellular component organization,0.278
neurofilament cytoskeleton organization,cellular component organization,0.688
neurogenesis,morphogenesis/development,0.318
neurohypophyseal hormone activity,cellular component organization,0.196
neurohypophysis development,morphogenesis/development,0.764
neurokinin receptor binding,receptor related process,0.422
neuroligin clustering involved in postsynaptic membrane assembly,neural related process,0.264
neuroligin family protein binding,neural related process,0.258
neuromast development,morphogenesis/development,0.886
neuromast hair cell development,morphogenesis/development,0.786
neuromast hair cell differentiation,morphogenesis/development,0.664
neuromedin B receptor binding,receptor related process,0.496
neuromedin U binding,stress response,0.158
neuromedin U receptor activity,cellular component organization,0.17
neuromedin U receptor binding,receptor related process,0.442
neuromuscular junction development,cellular component organization,0.67
"neuromuscular junction development, skeletal muscle fiber",cellular component organization,0.692
neuromuscular process controlling balance,neural related process,0.264
neuromuscular process controlling posture,morphogenesis/development,0.446
neuromuscular synaptic transmission,neural related process,0.574
neuron development,neural related process,0.62
neuron differentiation,neural related process,0.39
neuron fate commitment,morphogenesis/development,0.598
neuron fate determination,morphogenesis/development,0.526
neuron fate specification,morphogenesis/development,0.486
neuron intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,cell death,0.288
neuron intrinsic apoptotic signaling pathway in response to hydrogen peroxide,cell death,0.324
neuron intrinsic apoptotic signaling pathway in response to oxidative stress,cell death,0.46
neuron maturation,morphogenesis/development,0.562
neuron projection,neural related process,0.492
neuron projection branch point,cellular component organization,0.384
neuron projection cytoplasm,cellular component organization,0.38
neuron projection extension involved in neuron projection guidance,morphogenesis/development,0.44
neuron projection fasciculation,cellular component organization,0.398
neuron projection maintenance,neural related process,0.358
neuron projection morphogenesis,neural related process,0.718
neuron projection regeneration,neural related process,0.498
neuron projection retraction,neural related process,0.366
neuron projection terminus,neural related process,0.562
neuron remodeling,neural related process,0.342
neuron spine,neural related process,0.804
neuron-glial cell signaling,neural related process,0.258
neuron-neuron synaptic transmission,neural related process,0.41
neuronal action potential,neural related process,0.486
neuronal action potential propagation,neural related process,0.226
neuronal cell body,neural related process,0.53
neuronal cell body membrane,neural related process,0.466
neuronal dense core vesicle,neural related process,0.506
neuronal dense core vesicle exocytosis,transport,0.55
neuronal dense core vesicle lumen,neural related process,0.286
neuronal dense core vesicle membrane,neural related process,0.29
neuronal ion channel clustering,cellular component organization,0.508
neuronal ribonucleoprotein granule,cellular component organization,0.2
neuronal signal transduction,neural related process,0.228
neuronal stem cell division,neural related process,0.314
neuronal stem cell population maintenance,morphogenesis/development,0.292
neuronal-glial interaction involved in cerebral cortex radial glia guided migration,neural related process,0.272
neuronal-glial interaction involved in hindbrain glial-mediated radial cell migration,neural related process,0.266
neuropeptide Y receptor activity,receptor related process,0.616
neuropeptide Y receptor binding,receptor related process,0.464
neuropeptide activity,receptor related process,0.29
neuropeptide catabolic process,metabolic process,0.836
neuropeptide hormone activity,neural related process,0.196
neuropeptide processing,protein modification/signaling,0.216
neuropeptide receptor activity,receptor related process,0.586
neuropeptide signaling pathway,receptor related process,0.648
neuropilin binding,metabolic process,0.202
neuropilin signaling pathway,receptor related process,0.648
"neurotensin receptor activity, non-G protein-coupled",protein modification/signaling,0.23
neurotransmitter loading into synaptic vesicle,transport,0.68
neurotransmitter receptor activity involved in regulation of postsynaptic cytosolic calcium ion concentration,neural related process,0.316
neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential,neural related process,0.512
neurotransmitter receptor complex,neural related process,0.276
neurotransmitter receptor cycle,transport,0.434
neurotransmitter receptor diffusion trapping,transport,0.298
neurotransmitter receptor internalization,transport,0.524
neurotransmitter receptor localization to postsynaptic specialization membrane,neural related process,0.23
neurotransmitter receptor regulator activity,receptor related process,0.308
neurotransmitter receptor transport,transport,0.632
neurotransmitter receptor transport postsynaptic membrane to endosome,neural related process,0.248
neurotransmitter receptor transport to plasma membrane,transport,0.676
neurotransmitter receptor transport to postsynaptic membrane,transport,0.642
"neurotransmitter receptor transport, endosome to plasma membrane",transport,0.672
"neurotransmitter receptor transport, endosome to postsynaptic membrane",transport,0.392
"neurotransmitter receptor transport, postsynaptic endosome to lysosome",transport,0.312
neurotransmitter reuptake,neural related process,0.442
neurotransmitter secretion,neural related process,0.414
neurotransmitter secretion involved in regulation of skeletal muscle contraction,neural related process,0.376
neurotransmitter transmembrane transporter activity,transport,0.528
neurotransmitter-gated ion channel clustering,transport,0.338
neurotransmitter:sodium symporter activity,metabolic process,0.524
neurotrophin TRK receptor binding,receptor related process,0.466
neurotrophin TRK receptor signaling pathway,receptor related process,0.564
neurotrophin TRKA receptor binding,receptor related process,0.544
neurotrophin TRKB receptor binding,receptor related process,0.524
neurotrophin TRKC receptor binding,receptor related process,0.524
neurotrophin binding,protein modification/signaling,0.28
neurotrophin p75 receptor binding,receptor related process,0.52
neurotrophin production,multicellular organismal process,0.3
neurotrophin receptor activity,receptor related process,0.514
neurotrophin receptor binding,receptor related process,0.518
neutral L-amino acid secondary active transmembrane transporter activity,transport,0.696
neutral L-amino acid transmembrane transporter activity,transport,0.902
neutral L-amino acid:sodium symporter activity,transport,0.586
neutral L-amino acid:sodium:chloride symporter activity,metabolic process,0.526
"neutral amino acid, sodium:proton antiporter activity",metabolic process,0.516
neutral lipid biosynthetic process,metabolic process,0.97
neutral lipid catabolic process,metabolic process,0.984
neutral lipid metabolic process,metabolic process,0.944
neutral sphingomyelin phosphodiesterase activity,metabolic process,0.798
"neutral, basic amino acid:sodium:chloride symporter activity",metabolic process,0.516
neutrophil activation,immune system process,0.798
neutrophil activation involved in immune response,immune system process,0.584
neutrophil aggregation,metabolic process,0.206
neutrophil apoptotic process,cell death,0.44
neutrophil clearance,cellular component organization,0.188
neutrophil degranulation,immune system process,0.18
neutrophil differentiation,morphogenesis/development,0.434
neutrophil extravasation,cellular component organization,0.17
neutrophil mediated cytotoxicity,immune system process,0.776
neutrophil-mediated killing of bacterium,immune system process,0.806
neutrophil-mediated killing of fungus,immune system process,0.252
neutrophil-mediated killing of gram-negative bacterium,immune system process,0.236
neutrophil-mediated killing of gram-positive bacterium,immune system process,0.202
neutrophil-mediated killing of symbiont cell,immune system process,0.784
new growing cell tip,cell cycle,0.202
nickel cation binding,metabolic process,0.242
nickel cation transmembrane transport,transport,0.962
nickel cation transmembrane transporter activity,transport,0.61
nickel cation transport,transport,0.978
nicotinamide N-methyltransferase activity,metabolic process,0.896
nicotinamide metabolic process,metabolic process,0.95
nicotinamide phosphoribosyltransferase activity,metabolic process,0.874
nicotinamide riboside catabolic process,metabolic process,0.776
nicotinamide riboside metabolic process,metabolic process,0.946
nicotinamide-nucleotide adenylyltransferase activity,metabolic process,0.832
nicotinate phosphoribosyltransferase activity,metabolic process,0.874
nicotinate transmembrane transporter activity,cellular component organization,0.264
nicotinate transport,transport,0.736
nicotinate-nucleotide adenylyltransferase activity,metabolic process,0.802
nicotinate-nucleotide diphosphorylase (carboxylating) activity,metabolic process,0.874
nicotinic acid receptor activity,metabolic process,0.208
nipple development,morphogenesis/development,0.856
nipple morphogenesis,morphogenesis/development,0.448
nitrate import,transport,0.866
nitrate metabolic process,metabolic process,0.936
nitrate reductase activity,metabolic process,0.838
nitrate transmembrane transport,transport,0.954
nitrate transmembrane transporter activity,transport,0.638
nitric oxide binding,metabolic process,0.308
nitric oxide mediated signal transduction,protein modification/signaling,0.3
nitric oxide production involved in inflammatory response,immune system process,0.566
nitric oxide storage,protein modification/signaling,0.196
nitric oxide transmembrane transporter activity,metabolic process,0.364
nitric oxide transport,transport,0.674
nitric oxide-cGMP-mediated signaling pathway,protein modification/signaling,0.278
nitric-oxide synthase activity,metabolic process,0.932
nitric-oxide synthase binding,metabolic process,0.264
nitric-oxide synthase complex,metabolic process,0.414
nitric-oxide synthase inhibitor activity,metabolic process,0.396
nitric-oxide synthase regulator activity,metabolic process,0.454
nitrite reductase (NO-forming) activity,metabolic process,0.926
nitrite reductase activity,metabolic process,0.808
nitrite transport,transport,0.724
nitrobenzene metabolic process,metabolic process,0.952
